title,release,synopsis,seasons,episodes,genres,img_path
Moon Knight,2022,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",1,6,"Action & Adventure, Sci-Fi & Fantasy, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/x6FsYvt33846IQnDSFxla9j0RX8.jpg
Halo,2022,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future.",1,9,"Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nJUHX3XL1jMkk8honUZnUmudFb9.jpg
7 Hari Mencintaiku,2020,"Khuzairi Samad is a humble, dearly respected, filial son, one who always put his loved ones happiness before him who is secretly in love with Mia Adriana an arrogant, insolent, disdain person who always thinks less of other people.",3,30,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/uK0SsAWWdZ6XsvGKmzskf6VMS0l.jpg
Hidden Passion,2003,The Reyes-Elizondo's idyllic lives are shattered by a murder charge against Eric and León.,2,56,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lWlsZIsrGVWHtBeoOeLxIKDd9uy.jpg
Chain Reaction,2021,"Chain Reaction is an American game show created by Bob Stewart, in which players compete to form chains composed of two-word phrases.",3,30,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xhjoXm1WEvfQGYBGXKk8xk75z6s.jpg
Robinson,1997,"Expedition Robinson is a Swedish reality television program in which contestants are put into survival situations, and a voting process eliminates one person each episode until a winner is determined. The format was developed in 1994 by Charlie Parsons for a United Kingdom TV production company called Planet 24, but the Swedish debut in 1997 was the first production to actually make it to television.",21,36,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sWA0Uo9hkiAtvtjnPvaqfnulIIE.jpg
Lisa,2021,We don't have an overview translated in English. Help us expand our database by adding one.,3,61,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/w2nOl7KhwcUj11YxEi9Nknj9cqu.jpg
Casados à Primeira Vista,2018,"By scientists and relationship specialists, some Portuguese singles are placed in couples and meet for the first time in their own marriage. After that, they will go on a honeymoon, they will live together in a house and they are going out together and with their families and friends for the purpose of testing their relationship and discovering if love arises between them. In the end, the ultimate decision will be made: will they continue their lives together and married, or will their ways separate and divorce?",3,35,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/j5unA87lac80OJtnkcEKxwgodHT.jpg
The Broken Marriage Vow,2022,"A seemingly perfect home gets shattered by broken trust and infidelity, bringing forth catastrophic effects into the lives of the couple, their son, and everyone else involved. This is a story about a woman scorned.",2,14,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jfWdh5oAUYBa6G0WeRouPkdGkUl.jpg
Bunt!,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,68,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zkeikojLJGPKe4hOVuJCj7t2GzS.jpg
Pantanal,2022,"After the mysterious disappearance of his father, Joventino, the cowboy José Leôncio becomes a wealthy farm owner in Pantanal. Over twenty years have passed and, bitter-hearted because of his father vanishing and the escape of his wife to Rio de Janeiro with his baby, José Leôncio has the chance to make amends with the boy, now a young man raised in the big city with very different values and habits than his own.",1,60,"Drama, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4Ru1BwcAKWtpM345dWe8YgHf35V.jpg
Wheel of Fortune,1983,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",39,175,Family,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2fvAIyVfFHQdhJ7OsJWuMlF7836.jpg
The Marked Heart,2022,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,1,14,"Soap, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/M1q0HuyRnqxP8Si54srsPREFIH.jpg
Por Ti,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,50,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/7GmlOYoR2GNiBRFs47azHIcqncR.jpg
The Price Is Right,1972,"""Come on down!"" The Price Is Right features a wide variety of games and contests with the same basic challenge: Guess the prices of everyday (or not-quite-everyday) retail items. ",50,165,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6m4uYFAJwkanZXd0n0HUQ0lYHLl.jpg
Hollyoaks,1995,"The daily soap that follows the loves, lives and misdemeanours of a group of people living in the Chester village of Hollyoaks where anything could, and frequently does, happen...",28,96,Soap,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bpmLMZP3M1vLujPqHnOTnKVjRJY.jpg
How to Move On in 30 Days,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,30,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2cLWJiDOZvhoIaX2r2Zb78K66JQ.jpg
Peaky Blinders,2013,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",6,6,"Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg
Viral Scandal,2021,The lives of a simple family becomes disrupted when a scandalous video involving their eldest daughter goes viral.,2,58,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zPsJG3DRDeZZCoja9nnU6p4d67V.jpg
Thuis,1995,"Thuis is a Belgian television soap opera, which airs on één, which is in the hands of VRT, the national broadcasting channel of the Dutch-speaking region of Belgium.",27,180,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nrTGCUytgvWjKlZtFXKuDNI30aw.jpg
Grey's Anatomy,2005,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,18,20,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zPIug5giU8oug6Xes5K1sTfQJxY.jpg
Heartstopper,2022,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,1,8,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/wJJt1HG62h3WoGnLcRIbO2nNNkg.jpg
SPY x FAMILY,2022,Master spy Twilight is the best at what he does when it comes to going undercover on dangerous missions in the name of a better world. But when he receives the ultimate impossible assignment—get married and have a kid—he may finally be in over his head!,1,25,"Animation, Comedy, Action & Adventure, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/3r4LYFuXrg3G8fepysr4xSLWnQL.jpg
The Kardashians,2022,"The family you know and love is here with a brand new series, giving an all-access pass into their lives. Kris, Kourtney, Kim, Khloé, Kendall, and Kylie bring the cameras back to reveal the truth behind the headlines. From the intense pressures of running billion-dollar businesses to the hilarious joys of playtime and school drop-offs, this series brings viewers into the fold with a rivetingly honest story of love & life in the spotlight.",1,8,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3cJgB4fOfgHKNoHgtT3h1Qqkvxq.jpg
Além da Ilusão,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,90,"Drama, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/8BzuwDAMamf5TX4TepbDDEq7ima.jpg
Lucifer,2016,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",6,10,"Crime, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ekZobS8isE6mA53RAiGDG93hBxL.jpg
The Baby,2022,"When 38 year-old Natasha is unexpectedly landed with a baby, her life of doing what she wants, when she wants, dramatically implodes. Controlling, manipulative and with violent powers, the baby twists Natasha's life into a horror show. Where does it come from? What does it want? And what lengths will Natasha have to go to in order to get her life back?",1,6,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/v2anAQ1kffNRQoClWhGT81sXqFu.jpg
The Good Doctor,2017,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",5,18,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/cXUqtadGsIcZDWUTrfnbDjAy8eN.jpg
The Walking Dead,2010,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,11,24,"Action & Adventure, Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg
Let's Make a Deal,2009,"Audience members dress up in outlandish costumes to get host Wayne Brady's attention in an attempt to make deals for trips, prizes, cars or cash, while trying to avoid the dreaded Zonks.",13,154,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/8lQkzJCwPpB0P6GieQeojUOW6PU.jpg
Wer weiß denn sowas?,2015,We don't have an overview translated in English. Help us expand our database by adding one.,7,141,"Reality, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/abKjah96esLWObidBcWmvKJv61E.jpg
Noovo Le Fil 17,2021,We don't have an overview translated in English. Help us expand our database by adding one.,2,175,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ppPQS4XAUTguEVKWl4HRye4H7BU.jpg
LIVE with Kelly and Ryan,1988,"A morning talk show with A-list celebrity guests, top-notch performances and one-of-a-kind segments that are unrivaled on daytime television, plus spontaneous, hilarious and unpredictable talk.",34,173,Talk,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hBkyypWN3EcOzkozatiCm5VeaG.jpg
The Flash,2014,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",8,16,"Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg
All of Us Are Dead,2022,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,1,12,"Action & Adventure, Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ze4lhw0oLBHYmlM2KuZjBg0Sq6H.jpg
Conversations with a Killer: The John Wayne Gacy Tapes,2022,"Serial killer John Wayne Gacy was an aspiring politician, beloved local contractor, and part-time clown-for-hire who murdered 33 young men between 1972 and 1976. The majority of his victims were found buried under his house, in the quiet northwest suburbs of Chicago. Fifty years later, DNA scientists are still trying to identify all of his victims, but thanks to 60 hours of unearthed audio between Gacy and his defense team, we have fresh perspective on the narcissistic mindset of the murderer and a deeper understanding of how he operated for so long with impunity.",1,3,"Documentary, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/dc9IY0ZT2T3gw0RfjmQdsoWp992.jpg
Noovo Le Fil 22,2021,We don't have an overview translated in English. Help us expand our database by adding one.,2,170,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/x70JHANtSvS8IiTadaDrXY1PQBB.jpg
Noovo Le Fil Québec,2021,We don't have an overview translated in English. Help us expand our database by adding one.,2,175,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kdpM5Iz37EWi6hRMWZvrQRxTpEF.jpg
Quero é Viver,2022,"Ana Margarida Rosa Lobo, a 70-year-old actress at the end of her career, discovers she has Alzheimer's and without explaining to anyone, she decides to end her five-decade marriage with Sérgio and move to another house to enjoy her lucidity while she can. This decision causes an upheaval in the professional and personal lives of her four daughters. Faced with this situation, the family will be tested to the limit and the four women change their way of looking at life, questioning their love relationships that they have also built.",1,97,Soap,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bAp4W1ppwVlp7EpJb91RwTTLhm3.jpg
The Secret House,2022,A story about quitting being a good boy and chasing evil to the end for the sake of the mother and sister who sacrificed for themselves.,1,20,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wNN9hJDV45BF2PiJQQVwBCiqLIl.jpg
Oteckovia,2018,We don't have an overview translated in English. Help us expand our database by adding one.,5,98,"Family, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/r1hDy1wJ52NEilfcSzs0ocHEJZl.jpg
Super Dragon Ball Heroes,2018,"Trunks returns from the future to train with Goku and Vegeta. However, it disappears without warning. Then the mysterious Fu bursts in, telling them that Trunks has been imprisoned in the Prison Planet, a mysterious complex in an unknown place in the universes. The group seeks the dragon balls to free Trunks, but an endless battle awaits them! Will Goku and the others rescue Trunks and escape the Prison Planet?",1,3,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/jYeTfpxS3IzgqKkYCjmdCKwq8PW.jpg
The Tonight Show Starring Jimmy Fallon,2014,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",9,133,"Comedy, Talk",https://image.tmdb.org/t/p/w600_and_h900_bestv2/if7ECoH4xaYw5S8gomNIEmtwTxP.jpg
Emmerdale,1972,"The lives of several families in the Yorkshire Dales revolve around a farm and the nearby village. With murders, affairs, lies, deceit, laughter and tears, it's all there in the village.",51,101,"Soap, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ualtuRRNYa9Fj61wSuBVcuvaVDP.jpg
PBS NewsHour,1975,America's first and longest running hour-long nightly news broadcast known for its in-depth coverage of issues and current events.,47,260,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/5nfFB1wHQmNxkjaMNNMendPIRzb.jpg
The Wind Blows From Longxi,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,24,"Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/zcCyK8obdrOBZg15XurzEkNuf43.jpg
The Simpsons,1989,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",33,22,"Family, Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/tubgEpjTUA7t0kejVMBsNBZDarZ.jpg
The Lord of the Skies,2013,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",7,75,"Crime, Drama, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/Ag7VUdnrRz5Qpq3Yn3E5OCvFnu0.jpg
Euphoria,2019,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",2,8,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jtnfNzqZwN4E32FGGxx1YZaBWWf.jpg
Elite,2018,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",5,8,"Crime, Mystery, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/3NTAbAiao4JLzFQw6YxP1YZppM8.jpg
Superman & Lois,2021,"After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures and complexities that come with being working parents in today's society.",2,15,"Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/utpXq61UIlfNUuviz2hRmCEYdYr.jpg
Le Tricheur,2012,"This daily quiz show puts strategy front and centre, as five celebrities answer general-knowledge questions to win money for their favourite charity. But here’s the catch: one of the five participants is cheating, because they’re secretly being fed the answers. The cheater’s mission is to play it smart so they can fool the other players and win the game without getting caught.",10,165,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/voN5rAppQ9vgX3BzFRtSz3ohbmB.jpg
BAKI,2018,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",1,13,"Animation, Action & Adventure, Crime, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/c79L7zCnRzDJerrlbIWkNCjA6tg.jpg
Game of Thrones,2011,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",8,6,"Sci-Fi & Fantasy, Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/u3bZgnGQ9T01sWNhyveQz0wH0Hl.jpg
Mi Tío,2022,The journey of an unemployed amateur musician who reluctantly agrees to take care of his young nephew.,1,6,"Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sDPNwSe63WACVlHap7un6AgbqgO.jpg
The Vampire Diaries,2009,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",8,16,"Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/aBkVgChtyyJaHyZh1gfd8DbzQon.jpg
Canım Annem,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,70,"Drama, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/pPjyZWvaLzu2MRllG64p6eyQyre.jpg
Vikings: Valhalla,2022,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",1,8,"Action & Adventure, Drama, War & Politics",https://image.tmdb.org/t/p/w600_and_h900_bestv2/izIMqapegdEZj0YVDyFATPR8adh.jpg
S.W.A.T.,2017,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,5,21,"Action & Adventure, Crime, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/7Bttz4hEspKlpU0Me57dkHNR3nf.jpg
The Daily Show with Trevor Noah,1996,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",27,93,"News, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nz5fAg1OomLZ7fxiM4RnLbJxppc.jpg
Vikings,2013,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",6,20,"Action & Adventure, Drama, War & Politics",https://image.tmdb.org/t/p/w600_and_h900_bestv2/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg
What If...?,2021,"Taking inspiration from the comic books of the same name, each episode explores a pivotal moment from the Marvel Cinematic Universe and turns it on its head, leading the audience into uncharted territory.",1,9,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg
Pablo Escobar: The Drug Lord,2012,"Pablo is a man with a natural ability for business. Early in his life, Pablo is introduced to the business of cocaine and the power it yields. A young life of crime lands Pablo in and out of jail as he builds is criminal empire. Pablo expands his power through politics but it is not long before his conflicts as a Congressman and a drug lord collide. Pablo has his enemies executed, but not before the United States activates its own war on the Medellin cartel.",1,113,"Crime, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/jZqm7HFuxfH9P0LFjQZ8nzrCUHP.jpg
Peacemaker,2022,"The continuing story of Peacemaker – a compellingly vainglorious man who believes in peace at any cost, no matter how many people he has to kill to get it – in the aftermath of the events of “The Suicide Squad.”",1,8,"Action & Adventure, Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/hE3LRZAY84fG19a18pzpkZERjTE.jpg
Suits,2011,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",9,10,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vQiryp6LioFxQThywxbC6TuoDjy.jpg
House,2004,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",8,23,"Drama, Comedy, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lkvhReTBZ2Ksl0Dl5Oplsf6UYkF.jpg
Better Call Saul,2015,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",6,13,"Comedy, Crime, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/fC2HDm5t0kHl7mTm7jxMR31b7by.jpg
Sex Education,2019,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,3,8,"Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/8j12tohv1NBZNmpU93f47sAKBbw.jpg
The Late Show with Stephen Colbert,2015,"Improv actor and comic Stephen Colbert leaves his ""The Colbert Report"" character behind as he makes his long-awaited return to television. As the host of The Late Show franchise redux - taped at the historic Ed Sullivan Theatre at New York - Colbert talks to actors, athletes, politicians, comics, artists and musicians as himself for the first time. Loyal fans, however, will also be treated to consistency as Colbert remains backed by many members of his writing and digital team from his former venture. Julliard-trained Jon Batiste serves as the bandleader.",7,129,"Comedy, Talk",https://image.tmdb.org/t/p/w600_and_h900_bestv2/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg
Jujutsu Kaisen,2020,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",1,24,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/g1rK2nRXSidcMwNliWDIroWWGTn.jpg
Baki Hanma,2021,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",1,12,"Animation, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/k3HCQALcUyxebVZcfy57BIDYXUz.jpg
Rick and Morty,2013,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",5,10,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sGVCWtLG37mLOhl11qQVrjKsDzx.jpg
Cobra Kai,2018,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",4,10,"Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/6POBWybSBDBKjSs1VAQcnQC1qyt.jpg
Naruto Shippūden,2007,"Naruto Shippuuden is the continuation of the original animated TV series Naruto.The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as He has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki.",20,87,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/kV27j3Nz4d5z8u6mN3EJw9RiLg2.jpg
Legacies,2018,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",4,18,"Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/mwJ3OxbliRwCvceSJvAzPiFu4WZ.jpg
Bones,2005,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",12,12,"Crime, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg
The Book of Boba Fett,2021,Legendary bounty hunter Boba Fett and mercenary Fennec Shand must navigate the galaxy’s underworld when they return to the sands of Tatooine to stake their claim on the territory once ruled by Jabba the Hutt and his crime syndicate.,1,7,"Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gNbdjDi1HamTCrfvM9JeA94bNi2.jpg
Rosario Tijeras,2016,Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.,3,70,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/q03eQL8AUx49lVH6IT3IlmWzhQu.jpg
General Hospital,1963,"Families, friends, enemies and lovers experience life-changing events in the large upstate New York city of Port Charles, which has a busy hospital, upscale hotel, cozy diner and dangerous waterfront frequented by the criminal underworld.",59,169,Soap,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tYaWB1H4Isq4BoAjxFWMjhaEP9W.jpg
Merlí,2015,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems between the students of the class.",3,14,"Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/eBzpj7PxyeRFCIYHQjB5kDnhX4a.jpg
Teen Wolf,2011,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",6,20,"Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vY2vfAskJTiWsQSv6bdbNCQhPLm.jpg
The Rachel Maddow Show,2013,"The Rachel Maddow Show is a daily news and opinion television program that airs on MSNBC, running in the 9:00 pm ET timeslot. It is hosted by Rachel Maddow, who gained popularity with her frequent appearances as a liberal pundit on various MSNBC programs. It is based on her former radio show of the same name. The show debuted on September 8, 2008.",3,89,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jzCZ28TcpH4Zoo4D4gvOGOjtrUW.jpg
