title,release,synopsis,seasons,episodes,genres,img_path
Z Nation,2014,"Three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",5,13,"Mystery, Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gXfeDMkEcHoYBvtkbU11g3F81b.jpg
Twin Peaks,1990,The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,2,18,"Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lA9CNSdo50iQPZ8A2fyVpMvJZAf.jpg
CentoVetrine,2001,"The series tells the stories of some of the characters who work or are related to an imaginary shopping center Centovetrine, located in the center of Turin. There are many stories of love and passion, but also struggles for power and dynastic quarrels in the telefilm.",15,192,"Soap, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/25v6iDGmIpyG3zndfYdt4KfQgQ9.jpg
The Rain,2018,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety. A Scandinavian thriller series.",3,6,"Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/bBBpi5pgOEZlCOgx2q116oPdJnx.jpg
The Executioner and Her Way of Life,2022,"The Lost Ones are wanderers who come here from a distant world known as ""Japan."" No one knows how or why they leave their homes. The only thing that is certain is that they bring disaster and calamity. The duty of exterminating them without remorse falls to Menou, a young Executioner. When she meets Akari, it seems like just another job...until she discovers it's impossible to kill this girl! And when Menou begins to search for a way to defeat this immortality, Akari is more than happy to tag along! So begins a journey that will change Menou forever...",1,12,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/kZz3poAxVGjaeIgETtysi1Fx4sY.jpg
Reign,2013,"Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",4,16,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ytnyYZ2dcY7y75jtYu3gCdsUV7.jpg
Mayday,2003,"Revealing the dark truth that aviation safety improves one crash at a time, Mayday  investigates legendary aviation disasters to find out what went wrong and why.",22,10,"Documentary, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sUfJxQarDfBMgmJgsgJqmVP16UU.jpg
Katla,2021,"A year after a subglacial volcano erupts, mysterious elements from prehistoric times emerge from the melting ice, bringing unforeseen consequences.",1,8,"Drama, Mystery, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vRPDQP51i1Z2RuoIQaxVSj7Pd5R.jpg
Hey Arnold!,1996,"The daily life of Arnold--a fourth-grader with a wild imagination, street smarts and a head shaped like a football.",5,42,"Family, Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lmoYPc7pXjliXWMLqwN6tuJQc8b.jpg
The Legend of Korra,2012,"Avatar Korra, a headstrong, rebellious, feisty young woman who continually challenges and breaks with tradition, is on her quest to become a fully realized Avatar. In this story, the Avatar struggles to find balance within herself.",4,13,"Action & Adventure, Animation, Drama, Family, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nhP0VGO2GSZbL4PUgmA6Vja48aM.jpg
